scenario_set,sheet,Unnamed: 0,bus,tech_fuel,capacity_factor,period,incl_pu,limit,apply_to,units,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,scenario,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,type
ME IRP 2024,operational_constraints,UNC_GAS,global,sasol_gas,output_energy,year,False,max,fixed,TWh,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,
ME IRP 2024,operational_constraints,IRP23,global,wind + solar_pv + solar_csp,output_power,hour,False,max,all,MW,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,IRP23,global,ocgt_diesel + ocgt_avf,capacity_factor,year,False,max,all,%,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,
ME IRP 2024,operational_constraints,IRP23,global,ocgt_diesel + ocgt_avf,capacity_factor,week,False,max,all,%,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,IRP23,global,ccgt_steam,capacity_factor,year,False,min,all,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,
ME IRP 2024,operational_constraints,IRP23,global,coal,capacity_factor,year,False,min,fixed,%,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,,,,,,,,,,,,
ME IRP 2024,operational_constraints,IRP23,global,coal,capacity_factor,year,False,min,extendable,%,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,,,,,,,,,,,,
ME IRP 2024,operational_constraints,IRP23,global,rmippp,capacity_factor,year,False,min,fixed,%,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,IRP23,global,sasol_coal,output_energy,year,False,max,fixed,TWh,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,IRP23,global,sasol_gas,output_energy,year,False,max,fixed,TWh,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,
ME IRP 2024,operational_constraints,BASE,global,wind + solar_pv + solar_csp,output_power,hour,False,max,all,MW,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,BASE,global,ocgt_diesel + ocgt_avf,capacity_factor,year,False,max,all,%,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,
ME IRP 2024,operational_constraints,BASE,global,ocgt_diesel + ocgt_avf,capacity_factor,week,False,max,all,%,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,BASE,global,ocgt_diesel_emg,capacity_factor,year,False,max,extendable,%,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,,
ME IRP 2024,operational_constraints,BASE,global,ocgt_gas,primary_energy,year,False,min,extendable,PJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,BASE,global,ocgt_gas,capacity_factor,month,False,min,extendable,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,,,,,,,,,
ME IRP 2024,operational_constraints,BASE,global,ccgt_steam,capacity_factor,year,False,min,all,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,
ME IRP 2024,operational_constraints,BASE,global,coal,capacity_factor,year,False,min,fixed,%,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,,,,,,,,,,,,
ME IRP 2024,operational_constraints,BASE,global,coal,capacity_factor,year,False,min,extendable,%,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,
ME IRP 2024,operational_constraints,BASE,global,rmippp,capacity_factor,year,False,min,fixed,%,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,BASE,global,nuclear,capacity_factor,year,False,min,all,%,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,
ME IRP 2024,operational_constraints,BASE,global,sasol_coal,output_energy,year,False,max,fixed,TWh,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,BASE,global,sasol_gas,output_energy,year,False,max,fixed,TWh,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,wind + solar_pv + solar_csp,output_power,hour,False,max,all,MW,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,ocgt_diesel + ocgt_avf,capacity_factor,year,False,max,all,%,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,ocgt_diesel + ocgt_avf,capacity_factor,week,False,max,all,%,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,ocgt_diesel_emg,capacity_factor,year,False,max,extendable,%,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,ocgt_gas + ocgt_gas_h2_40 + ocgt_gas_h2_45 + ocgt_gas_h2_50,primary_energy,year,False,min,extendable,PJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,ocgt_gas,capacity_factor,month,False,min,extendable,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,ocgt_gas_h2_40,capacity_factor,month,False,min,extendable,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,ocgt_gas_h2_40,capacity_factor,year,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,ocgt_gas_h2_40,capacity_factor,week,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,ocgt_gas_h2_45,capacity_factor,month,False,min,extendable,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,ocgt_gas_h2_45,capacity_factor,year,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,ocgt_gas_h2_45,capacity_factor,week,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,ocgt_gas_h2_50,capacity_factor,month,False,min,extendable,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,ocgt_gas_h2_50,capacity_factor,year,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,ocgt_gas_h2_50,capacity_factor,week,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,ccgt_steam,capacity_factor,year,False,min,all,%,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,nuclear,capacity_factor,year,False,min,all,%,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,nuclear,capacity_factor,hour,False,min,all,%,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,rmippp,capacity_factor,year,False,min,fixed,%,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,sasol_coal,output_energy,year,False,max,fixed,TWh,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH,global,sasol_gas,output_energy,year,False,max,fixed,TWh,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,wind + solar_pv + solar_csp,output_power,hour,False,max,all,MW,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,13145.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,ocgt_diesel + ocgt_avf,capacity_factor,year,False,max,all,%,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,ocgt_diesel + ocgt_avf,capacity_factor,week,False,max,all,%,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,ocgt_diesel_emg,capacity_factor,year,False,max,extendable,%,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,ocgt_gas + ocgt_gas_h2_40 + ocgt_gas_h2_45 + ocgt_gas_h2_50,primary_energy,year,False,min,extendable,PJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,ocgt_gas,capacity_factor,month,False,min,extendable,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,ocgt_gas_h2_40,capacity_factor,month,False,min,extendable,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,ocgt_gas_h2_40,capacity_factor,year,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,ocgt_gas_h2_40,capacity_factor,week,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,ocgt_gas_h2_45,capacity_factor,month,False,min,extendable,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,ocgt_gas_h2_45,capacity_factor,year,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,ocgt_gas_h2_45,capacity_factor,week,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,ocgt_gas_h2_50,capacity_factor,month,False,min,extendable,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,ocgt_gas_h2_50,capacity_factor,year,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,,,,,,,,,,,,
ME IRP 2024,operational_constraints,FUEL_SWITCH_ST50,global,ocgt_gas_h2_50,capacity_factor,week,False,max,extendable,%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,
