scenario_set,sheet,Scenario,Power Station Name,Grouping,Carrier,Unit size (MW),Number units,Capacity (MW),Commissioning Date,Decommissioning Date,Heat Rate (GJ/MWh),CO2 Emissions (kgCO2/MWh),Fuel Price (R/GJ),Max Ramp Up (%/h),Max Ramp Down (%/h),Max Ramp Start Up (%/h),Max Ramp Shut Down (%/h),Min Stable Level (%),Min Up Time (h),Min Down Time (h),Variable O&M Cost (R/MWh),Fixed O&M Cost (R/kW/yr),Unit Start Up Cost (R),Start Up Cost (R),Shut Down Cost (R),GPS Latitude,GPS Longitude,Model Key,PV Mounting,PV DC-AC Ratio,Wind Hub Height,CSP Storage Hours,Round Trip Efficiency (%),Max Storage (GWh),Max Storage (hours),scenario,station_name,grouping,carrier,dispatch_committable,unit_size (MW),number_units,capacity (MW),commissioning_date,decommissioning_date,avg_heat_rate (GJ/MWh),marginal_heat_rate (GJ/MWh),no_load_heat_rate (GJ/h),co2_emissions_input (kgCO2/GJ),co2_emissions_output (kgCO2/MWh),fuel_price (R/GJ),max_ramp_up (%/h),max_ramp_down (%/h),max_ramp_start_up (%/h),max_ramp_shut_down (%/h),min_stable_level (%),min_up_time (h),min_down_time (h),variable_om_cost (R/MWh),fixed_om_cost (R/kW/yr),unit_start_cost (R),start_up_cost (R),shut_down_cost (R),gps_lat,gps_lon,comments,model_key,pv_mounting,pv_dc_ac_ratio,wind_hub_height,csp_storage_hours,round_trip_efficiency (%),storage_energy (GWh),storage_hours,commissioning_year,decommissioning_year,included_2023
ME IRP 2024,conventional,NZE2050,Matla**,eskom,coal,575.0,3.0,1725.0,-,2032,12.066,991.0,45.18,0.250434782608696,0.250434782608696,0.125217391304348,0.125217391304348,0.65,0.0,0.0,88.3663253697383,1115.97458930603,76411.9795221843,229235.93856655288,0.0,-26.28036,29.14229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032.0,False
ME IRP 2024,conventional,NZE2050,Medupi*,eskom,coal,720.0,5.0,3600.0,-,2047,10.305,930.0,45.18,0.597510373443983,0.597510373443983,0.2987551867219915,0.2987551867219915,0.0,0.0,0.0,121.970420932878,1201.47709897611,87058.6696962685,435293.3484813425,0.0,-23.42,27.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2047.0,False
ME IRP 2024,conventional,NZE2050,Medupi**,eskom,coal,717.0,1.0,717.0,-,2049,10.305,930.0,45.18,0.597510373443983,0.597510373443983,0.2987551867219915,0.2987551867219915,0.0,0.0,0.0,121.970420932878,1201.47709897611,87058.6696962685,87058.6696962685,0.0,-23.42,27.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2049.0,False
ME IRP 2024,conventional,NZE2050,Tutuka*,eskom,coal,585.0,3.0,1755.0,-,2030,10.495,981.0,45.18,0.333,0.333,0.1665,0.1665,0.65,0.0,0.0,88.3663253697383,1115.97458930603,76411.9795221843,229235.93856655288,0.0,-26.77565,29.35212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030.0,False
ME IRP 2024,conventional,NZE2050,Tutuka**,eskom,coal,585.0,3.0,1755.0,-,2031,10.495,981.0,45.18,0.333,0.333,0.1665,0.1665,0.65,0.0,0.0,88.3663253697383,1115.97458930603,76411.9795221843,229235.93856655288,0.0,-26.77565,29.35212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2031.0,False
ME IRP 2024,conventional,NZE2050,Koeberg,eskom,nuclear,927.0,2.0,1854.0,-,2047,11.111,0.0,18,0.1,0.1,0.05,0.05,0.0,,,56.0068259385666,1477.33560864619,0.0,0.0,0.0,-33.67359354,18.428247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2047.0,False
ME IRP 2024,conventional,NZE2050,Ankerlig,eskom,ocgt_diesel,148.0,9.0,1332.0,-,2039,11.519,574.0,373,,,,,0.0,,,3.73378839590444,243.940841865757,0.0,0.0,0.0,-33.592,18.4607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2039.0,False
ME IRP 2024,conventional,NZE2050,Gourikwa,eskom,ocgt_diesel,148.0,5.0,740.0,-,2038,11.519,574.0,373,,,,,0.0,,,3.73378839590444,243.940841865757,0.0,0.0,0.0,-34.16526,21.96077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2038.0,False
ME IRP 2024,conventional,NZE2050,Acacia,eskom,ocgt_avf,57.0,3.0,171.0,-,2026,11.519,574.0,373,,,,,0.0,,,3.73378839590444,243.940841865757,0.0,0.0,0.0,-33.88408,18.53361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026.0,False
ME IRP 2024,conventional,NZE2050,PortRex,eskom,ocgt_avf,57.0,3.0,171.0,-,2026,11.519,574.0,373,,,,,0.0,,,3.73378839590444,243.940841865757,0.0,0.0,0.0,-33.02739,27.88382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026.0,False
ME IRP 2024,conventional,NZE2050,Gariep,eskom,hydro,90.0,4.0,360.0,-,beyond 2050,-,0.0,-,,,,,0.0,,,435.608646188851,0.0,0.0,0.0,0.0,-30.62396,25.50403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050.0,False
ME IRP 2024,conventional,NZE2050,Vanderkloof,eskom,hydro,120.0,2.0,240.0,-,beyond 2050,-,0.0,-,,,,,0.0,,,435.608646188851,0.0,0.0,0.0,0.0,-29.99337,24.73384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050.0,False
ME IRP 2024,conventional,NZE2050,AcwaDao,RMIPPP,rmippp,150.0,1.0,150.0,2025,2045,9.16,,-,,,,,0.0,,,,0.0,0.0,0.0,0.0,-28.8891461968036,21.9800586392359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,2045.0,False
ME IRP 2024,conventional,ignore,CoegaKarpowership,RMIPPP,rmippp,450.0,1.0,450.0,2025,2045,9.16,,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0.0,-33.9664352171112,25.6145647032336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,2045.0,False
ME IRP 2024,conventional,ignore,MuliloTotalCoega,RMIPPP,rmippp,197.76,1.0,197.76,2025,2045,9.16,,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0.0,-33.9664352171112,25.6145647032336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,2045.0,False
ME IRP 2024,conventional,NZE2050,MuliloTotalHydra,RMIPPP,rmippp,75.0,1.0,75.0,2025,2045,9.16,,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0.0,-30.67566,24.06759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,2045.0,False
ME IRP 2024,conventional,NZE2050,Oya,RMIPPP,rmippp,128.0,1.0,128.0,2025,2045,9.16,0.0,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0.0,-32.84891,20.32363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,2045.0,False
ME IRP 2024,conventional,ignore,RichardsBayKarpowership,RMIPPP,rmippp,450.0,1.0,450.0,2025,2045,9.16,,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0.0,-28.756817081683,32.0482441870341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,2045.0,False
ME IRP 2024,conventional,ignore,SaldanhaKarpowership,RMIPPP,rmippp,320.0,1.0,320.0,2025,2045,9.16,,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0.0,-33.0329578529603,17.9190929028183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,2045.0,False
ME IRP 2024,conventional,NZE2050,Scatec1,RMIPPP,rmippp,50.0,1.0,50.0,2024,2045,9.16,,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0.0,-29.4112838805742,21.0847327324929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0,2045.0,False
ME IRP 2024,conventional,NZE2050,Scatec2,RMIPPP,rmippp,50.0,1.0,50.0,2024,2045,9.16,,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0.0,-29.4112838805742,21.0847327324929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0,2045.0,False
ME IRP 2024,conventional,NZE2050,Scatec3,RMIPPP,rmippp,50.0,1.0,50.0,2024,2045,9.16,,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0.0,-29.4112838805742,21.0847327324929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0,2045.0,False
ME IRP 2024,conventional,NZE2050,Umoyilanga,RMIPPP,rmippp,75.0,1.0,75.0,2025,2045,9.16,,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0.0,-28.4519839474036,21.2331531845134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,2045.0,False
ME IRP 2024,conventional,NZE2050,Avon,IPP,ocgt_diesel,167.5,4.0,670.0,-,2046,11.519,574.0,373,,,,,0.0,,,3.73378839590444,210.336746302617,0.0,0.0,0.0,-29.251,31.0941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2046.0,False
ME IRP 2024,conventional,NZE2050,Dedisa,IPP,ocgt_diesel,167.5,2.0,335.0,-,2046,11.519,574.0,373,,,,,0.0,,,3.73378839590444,210.336746302617,0.0,0.0,0.0,-33.4433,25.4022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2046.0,False
ME IRP 2024,conventional,NZE2050,Secunda_coal,Sasol,sasol_coal,42.86,14.0,600.04,-,2035,12.372,1347.0,15.6,,,,,0.65,,,88.3663253697383,1201.48332195677,225082.721274175,3151158.09783845,0.0,-26.5036,29.1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035.0,False
ME IRP 2024,conventional,NZE2050,Sasolburg_coal,Sasol,sasol_coal,,,128.0,-,2035,12.372,1347.0,15.6,,,,,0.65,,,88.3663253697383,1201.48332195677,225082.721274175,0.0,0.0,-26.5036,29.1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035.0,False
ME IRP 2024,conventional,NZE2050,Sasol_ice,Sasol,sasol_gas,9.7,18.0,174.6,-,2050,9.6,432.0,75,,,,,0.0,,,88.3663253697383,0.0,0.0,0.0,0.0,-26.8102,27.8277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050.0,False
ME IRP 2024,conventional,NZE2050,Sasol_ocgt,Sasol,sasol_gas,50.0,5.0,250.0,-,2050,9.6,432.0,75,,,,,0.0,,,3.73378839590444,0.0,0.0,0.0,0.0,-26.8102,27.8277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050.0,False
ME IRP 2024,conventional,C2040_NZE2050,Arnot*,eskom,coal,350.0,3.0,1050.0,-,2027,12.744,1047.0,45.18,0.345,0.345,0.1725,0.1725,0.65,48.0,48.0,88.3663253697383,1176.01639590444,48745.6446678271,146236.9340034813,0.0,-25.94444,29.79166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027.0,False
ME IRP 2024,conventional,C2040_NZE2050,Arnot**,eskom,coal,350.0,3.0,1050.0,-,2029,12.995,1047.0,45.18,0.345,0.345,0.1725,0.1725,0.65,0.0,0.0,88.3663253697383,1176.01639590444,48745.6446678271,146236.9340034813,0.0,-25.94444,29.79166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029.0,False
ME IRP 2024,conventional,C2040_NZE2050,Camden*,eskom,coal,190.0,3.0,570.0,-,2024,13.584,1116.0,45.18,0.178378378378378,0.178378378378378,0.089189189189189,0.089189189189189,0.0,0.0,0.0,88.3663253697383,1577.42478498294,18773.643629124,56320.930887372,0.0,-26.62007,30.09113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0,False
ME IRP 2024,conventional,C2040_NZE2050,Camden**,eskom,coal,182.2,5.0,911.0,-,2025,14.28,1116.0,45.18,0.178378378378378,0.178378378378378,0.089189189189189,0.089189189189189,0.0,0.0,0.0,88.3663253697383,1577.42478498294,18773.643629124,93868.21814561999,0.0,-26.62007,30.09113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,False
ME IRP 2024,conventional,C2040_NZE2050,Duvha*,eskom,coal,575.0,2.0,1150.0,-,2033,12.066,991.0,45.18,0.4,0.4,0.2,0.2,0.65,0.0,0.0,88.3663253697383,1126.42919681456,91694.3754266212,183388.7508532424,0.0,-25.95954,29.34094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2033.0,False
ME IRP 2024,conventional,C2040_NZE2050,Duvha**,eskom,coal,575.0,3.0,1725.0,-,2034,12.066,991.0,45.18,0.4,0.4,0.2,0.2,0.65,0.0,0.0,88.3663253697383,1126.42919681456,91694.3754266212,275083.12627986365,0.0,-25.95954,29.34094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2034.0,False
ME IRP 2024,conventional,C2040_NZE2050,Grootvlei*,eskom,coal,190.0,2.0,380.0,-,2026,13.79,1133.0,45.18,0.167,0.167,0.0835,0.0835,0.65,0.0,0.0,88.3663253697383,1175.97905802048,23714.1198372924,47428.2396745848,0.0,-26.76955,28.49951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026.0,False
ME IRP 2024,conventional,C2040_NZE2050,Grootvlei**,eskom,coal,190.0,1.0,190.0,-,2027,12.744,1133.0,45.18,0.167,0.167,0.0835,0.0835,0.65,48.0,48.0,88.3663253697383,1175.97905802048,23714.1198372924,23714.1198372924,0.0,-26.76955,28.49951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027.0,False
ME IRP 2024,conventional,C2040_NZE2050,Hendrina*,eskom,coal,190.0,4.0,760.0,-,2024,13.266,1090.0,45.18,0.333,0.333,0.1665,0.1665,0.0,0.0,0.0,88.3663253697383,1175.98403640501,15018.9149032992,60075.6596131968,0.0,-26.03138,29.60138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0,False
ME IRP 2024,conventional,C2040_NZE2050,Hendrina**,eskom,coal,169.0,2.0,338.0,-,2025,14.28,1090.0,45.18,0.333,0.333,0.1665,0.1665,0.65,0.0,0.0,88.3663253697383,1175.98403640501,15018.9149032992,30037.8298065984,0.0,-26.62007,30.09113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,False
ME IRP 2024,conventional,C2040_NZE2050,Kelvin,IPP,coal,80.0,2.0,160.0,-,2027,12.372,1375.0,45.18,0.375,0.375,0.1875,0.1875,0.65,,,99.5676905574516,1201.48332195677,225082.721274175,450165.44254835,0.0,-26.115776,28.1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027.0,False
ME IRP 2024,conventional,C2040_NZE2050,Kendal*,eskom,coal,640.0,3.0,1920.0,-,2037,11.782,1056.0,45.18,0.167,0.167,0.0835,0.0835,0.0,0.0,0.0,88.3663253697383,1118.95788623436,84316.6169931513,252949.85097945388,0.0,-26.08805,28.96888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2037.0,False
ME IRP 2024,conventional,C2040_NZE2050,Kendal**,eskom,coal,640.0,3.0,1920.0,-,2040,11.782,1056.0,45.18,0.167,0.167,0.0835,0.0835,0.0,0.0,0.0,88.3663253697383,1118.95788623436,84316.6169931513,252949.85097945388,0.0,-26.08805,28.96888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040.0,False
ME IRP 2024,conventional,C2040_NZE2050,Komati,eskom,coal,114.0,1.0,114.0,-,2022,15.123,1010.0,45.18,0.167,0.167,0.0835,0.0835,0.0,0.0,0.0,88.3663253697383,1115.97458930603,8782.97661497838,8782.97661497838,0.0,-26.09078,29.47446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,False
ME IRP 2024,conventional,C2040_NZE2050,Kriel*,eskom,coal,405.0,3.0,1215.0,-,2028,12.995,1010.0,45.18,0.454736842105263,0.454736842105263,0.2273684210526315,0.2273684210526315,0.65,0.0,0.0,88.3663253697383,1115.97458930603,63237.5146040728,189712.5438122184,0.0,-26.25404,29.18008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028.0,False
ME IRP 2024,conventional,C2040_NZE2050,Kriel**,eskom,coal,475.0,3.0,1425.0,-,2030,12.995,1010.0,45.18,0.454736842105263,0.454736842105263,0.2273684210526315,0.2273684210526315,0.65,0.0,0.0,88.3663253697383,1115.97458930603,63237.5146040728,189712.5438122184,0.0,-26.25404,29.18008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030.0,False
ME IRP 2024,conventional,C2040_NZE2050,Kusile*,eskom,coal,720.0,4.0,2880.0,-,2038,10.305,947.0,45.18,0.6,0.6,0.3,0.3,0.0,0.0,0.0,121.970420932878,1165.56676678043,87058.6696962685,348234.678785074,0.0,-25.92007,28.924942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2038.0,False
ME IRP 2024,conventional,C2040_NZE2050,Kusile**,eskom,coal,720.0,1.0,720.0,2023,2039,10.305,947.0,45.18,0.6,0.6,0.3,0.3,0.0,0.0,0.0,121.970420932878,1165.56676678043,87058.6696962685,87058.6696962685,0.0,-25.92007,28.924942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,2039.0,True
ME IRP 2024,conventional,C2040_NZE2050,Kusile***,eskom,coal,720.0,1.0,720.0,2024,2040,10.305,947.0,45.18,0.6,0.6,0.3,0.3,0.0,0.0,0.0,121.970420932878,1165.56676678043,87058.6696962685,87058.6696962685,0.0,-25.92007,28.924942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0,2040.0,False
ME IRP 2024,conventional,C2040_NZE2050,Lethabo*,eskom,coal,593.0,3.0,1779.0,-,2038,11.003,986.0,45.18,0.596964586846543,0.596964586846543,0.2984822934232715,0.2984822934232715,0.65,0.0,0.0,88.3663253697383,1115.97458930603,77729.5919647099,233188.7758941297,0.0,-26.74027,27.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2038.0,False
ME IRP 2024,conventional,C2040_NZE2050,Lethabo**,eskom,coal,593.0,3.0,1779.0,-,2040,11.519,986.0,45.18,0.596964586846543,0.596964586846543,0.2984822934232715,0.2984822934232715,0.0,0.0,0.0,88.3663253697383,1115.97458930603,77729.5919647099,233188.7758941297,0.0,-26.74027,27.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040.0,False
ME IRP 2024,conventional,C2040_NZE2050,Majuba*,eskom,coal,606.0,3.0,1818.0,-,2038,11.782,1056.0,45.18,0.167,0.166939443535188,0.0835,0.083469721767594,0.0,0.0,0.0,88.3663253697383,1115.97458930603,160728.803902389,482186.41170716693,0.0,-27.09555,29.77055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2038.0,False
ME IRP 2024,conventional,C2040_NZE2050,Majuba**,eskom,coal,663.0,3.0,1989.0,-,2040,11.032,988.0,45.18,0.167,0.170149253731343,0.0835,0.0850746268656715,0.0,0.0,0.0,88.3663253697383,1115.97458930603,176538.078918999,529614.236756997,0.0,-27.09555,29.77055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040.0,False
ME IRP 2024,conventional,C2040_NZE2050,Matimba*,eskom,coal,615.0,3.0,1845.0,-,2037,11.682,1047.0,45.18,0.286,0.286,0.143,0.143,0.0,0.0,0.0,88.3663253697383,1118.98402275313,81681.8069817747,245045.42094532412,0.0,-23.66777,27.61277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2037.0,False
ME IRP 2024,conventional,C2040_NZE2050,Matimba**,eskom,coal,615.0,3.0,1845.0,-,2040,11.519,1057.0,45.18,0.286,0.286,0.143,0.143,0.0,0.0,0.0,88.3663253697383,1118.98402275313,81681.8069817747,245045.42094532412,0.0,-23.66777,27.61277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040.0,False
ME IRP 2024,conventional,C2040_NZE2050,Matla*,eskom,coal,575.0,3.0,1725.0,-,2030,12.066,991.0,45.18,0.250434782608696,0.250434782608696,0.125217391304348,0.125217391304348,0.65,0.0,0.0,88.3663253697383,1115.97458930603,76411.9795221843,229235.93856655288,0.0,-26.28036,29.14229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030.0,False
ME IRP 2024,conventional,C2040_NZE2050,Matla**,eskom,coal,575.0,3.0,1725.0,-,2032,12.066,991.0,45.18,0.250434782608696,0.250434782608696,0.125217391304348,0.125217391304348,0.65,0.0,0.0,88.3663253697383,1115.97458930603,76411.9795221843,229235.93856655288,0.0,-26.28036,29.14229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032.0,False
ME IRP 2024,conventional,C2040_NZE2050,Medupi*,eskom,coal,720.0,5.0,3600.0,-,2037,10.305,930.0,45.18,0.597510373443983,0.597510373443983,0.2987551867219915,0.2987551867219915,0.0,0.0,0.0,121.970420932878,1201.47709897611,87058.6696962685,435293.3484813425,0.0,-23.42,27.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2037.0,False
ME IRP 2024,conventional,C2040_NZE2050,Medupi**,eskom,coal,717.0,1.0,717.0,-,2040,10.305,930.0,45.18,0.597510373443983,0.597510373443983,0.2987551867219915,0.2987551867219915,0.0,0.0,0.0,121.970420932878,1201.47709897611,87058.6696962685,87058.6696962685,0.0,-23.42,27.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040.0,False
ME IRP 2024,conventional,C2040_NZE2050,Tutuka*,eskom,coal,585.0,3.0,1755.0,-,2030,10.495,981.0,45.18,0.333,0.333,0.1665,0.1665,0.65,0.0,0.0,88.3663253697383,1115.97458930603,76411.9795221843,229235.93856655288,0.0,-26.77565,29.35212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030.0,False
ME IRP 2024,conventional,C2040_NZE2050,Tutuka**,eskom,coal,585.0,3.0,1755.0,-,2031,10.495,981.0,45.18,0.333,0.333,0.1665,0.1665,0.65,0.0,0.0,88.3663253697383,1115.97458930603,76411.9795221843,229235.93856655288,0.0,-26.77565,29.35212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2031.0,False
ME IRP 2024,conventional,C2040_NZE2050,Koeberg,eskom,nuclear,927.0,2.0,1854.0,-,2047,11.111,0.0,18,0.1,0.1,0.05,0.05,0.0,,,56.0068259385666,1477.33560864619,0.0,0.0,0.0,-33.67359354,18.428247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2047.0,False
ME IRP 2024,conventional,C2040_NZE2050,Ankerlig,eskom,ocgt_diesel,148.0,9.0,1332.0,-,2039,11.519,574.0,373,,,,,0.0,,,3.73378839590444,243.940841865757,0.0,0.0,0.0,-33.592,18.4607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2039.0,False
ME IRP 2024,conventional,C2040_NZE2050,Gourikwa,eskom,ocgt_diesel,148.0,5.0,740.0,-,2038,11.519,574.0,373,,,,,0.0,,,3.73378839590444,243.940841865757,0.0,0.0,0.0,-34.16526,21.96077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2038.0,False
ME IRP 2024,conventional,C2040_NZE2050,Acacia,eskom,ocgt_avf,57.0,3.0,171.0,-,2026,11.519,574.0,373,,,,,0.0,,,3.73378839590444,243.940841865757,0.0,0.0,0.0,-33.88408,18.53361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026.0,False
ME IRP 2024,conventional,C2040_NZE2050,PortRex,eskom,ocgt_avf,57.0,3.0,171.0,-,2026,11.519,574.0,373,,,,,0.0,,,3.73378839590444,243.940841865757,0.0,0.0,0.0,-33.02739,27.88382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026.0,False
ME IRP 2024,conventional,C2040_NZE2050,Gariep,eskom,hydro,90.0,4.0,360.0,-,beyond 2050,-,0.0,-,,,,,0.0,,,435.608646188851,0.0,0.0,0.0,0.0,-30.62396,25.50403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050.0,False
ME IRP 2024,conventional,C2040_NZE2050,Vanderkloof,eskom,hydro,120.0,2.0,240.0,-,beyond 2050,-,0.0,-,,,,,0.0,,,435.608646188851,0.0,0.0,0.0,0.0,-29.99337,24.73384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050.0,False
ME IRP 2024,conventional,C2040_NZE2050,AcwaDao,RMIPPP,rmippp,150.0,1.0,150.0,2025,2045,9.16,,-,,,,,0.0,,,,0.0,0.0,0.0,0.0,-28.8891461968036,21.9800586392359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,2045.0,False
ME IRP 2024,conventional,ignore,CoegaKarpowership,RMIPPP,rmippp,450.0,1.0,450.0,2025,2045,9.16,,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0.0,-33.9664352171112,25.6145647032336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,2045.0,False
ME IRP 2024,conventional,ignore,MuliloTotalCoega,RMIPPP,rmippp,197.76,1.0,197.76,2025,2045,9.16,,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0.0,-33.9664352171112,25.6145647032336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,2045.0,False
ME IRP 2024,conventional,C2040_NZE2050,MuliloTotalHydra,RMIPPP,rmippp,75.0,1.0,75.0,2025,2045,9.16,,-,,,,,0.0,,,1800.0,0.0,0.0,0.0,0.0,-30.67566,24.06759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,2045.0,False
