scenario_set,sheet,scenario,parameter,unit,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,technology,BASE1,BASE2,BASE3,BASE4,units,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,COAL_75
ME IRP 2024,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ccgt_steam,1.0,1.0,1.0,1.0,,,,,,,,,,,,
ME IRP 2024,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,phs,1.0,1.0,1.0,1.0,,,,,,,,,,,,
ME IRP 2024,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,solar_pv,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ME IRP 2024,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,solar_pv_low,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ME IRP 2024,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,solar_pv_rooftop,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ME IRP 2024,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,solar_csp,0.5,0.5,0.5,0.5,,,,,,,,,,,,
ME IRP 2024,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wind,0.1,0.1,0.1,0.1,,,,,,,,,,,,
ME IRP 2024,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wind_low,0.1,0.1,0.1,0.1,,,,,,,,,,,,
Coal_Flexibilisation,reserve_margin,RES_MRGN_0,reserve_margin_active,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,TRUE/FALSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Coal_Flexibilisation,reserve_margin,RES_MRGN_0,reserve_margin,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Coal_Flexibilisation,reserve_margin,RES_MRGN_5,reserve_margin_active,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,TRUE/FALSE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Coal_Flexibilisation,reserve_margin,RES_MRGN_5,reserve_margin,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,%,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,
Coal_Flexibilisation,reserve_margin,RES_MRGN_10,reserve_margin_active,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,TRUE/FALSE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Coal_Flexibilisation,reserve_margin,RES_MRGN_10,reserve_margin,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,%,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
Coal_Flexibilisation,reserve_margin,RES_MRGN_10_31,reserve_margin_active,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,TRUE/FALSE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Coal_Flexibilisation,reserve_margin,RES_MRGN_10_31,reserve_margin,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,%,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,battery_1h,0.25,0.25,0.25,0.25,,,,,,,,,,,,0.25
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,battery_3h,0.5,0.5,0.5,0.5,,,,,,,,,,,,0.5
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,battery_4h,0.5,0.5,0.5,0.5,,,,,,,,,,,,0.5
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,battery_8h,0.5,0.75,0.5,0.75,,,,,,,,,,,,0.5
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biomass_forestry,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biomass_landfill_gas,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biomass_biogas,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biomass_MSW,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coal,0.53,0.53,1.0,1.0,,,,,,,,,,,,0.75
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuclear,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocgt_diesel,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocgt_diesel_emg,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocgt_gas,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocgt_gas_h2_40,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocgt_gas_h2_45,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocgt_gas_h2_50,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ccgt_steam,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,phs,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,solar_pv,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,solar_pv_low,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,solar_pv_rooftop,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,solar_csp,0.5,0.5,0.5,0.5,,,,,,,,,,,,0.5
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wind,0.1,0.1,0.1,0.1,,,,,,,,,,,,0.1
Coal_Flexibilisation,capacity_credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wind_low,0.1,0.1,0.1,0.1,,,,,,,,,,,,0.1
